# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
2426.151026817452,257848
2427.606181345396,258124
2429.040983952272,258398
2429.040983952272,258398
2430.493501615086,258684
2431.954886429623,258952
2433.416316693595,259238
2434.870092436405,259500
2436.332253054402,259778
2437.786734987364,260052
2439.244846992312,260316
2440.694141419683,260592
2442.151026817438,260864
2443.606181345381,261122
2445.040983952257,261392
2446.493501615072,261652
2446.493501615072,261652
2447.954886429608,261932
2449.41631669358,262180
2450.870092436391,262442
2452.332253054388,262724
2453.78673498735,262996
2455.244846992297,263258
2456.694141419668,263532
2458.151026817423,263794
2459.606181345367,264066
2461.040983952243,264336
2462.493501615057,264602
2463.954886429594,264882
2465.416316693565,265134
2466.870092436376,265398
2468.332253054373,265672
2469.786734987335,265954
2471.244846992283,266198
2472.694141419655,266482
2472.694141419655,266482
2474.151026817411,266760
2475.606181345353,267030
2477.04098395223,267302
2478.493501615044,267572
2479.954886429581,267842
2481.416316693552,268110
2481.416316693552,268110
2482.870092436363,268370
2484.332253054361,268646
2485.786734987324,268930
2487.244846992272,269190
2488.694141419644,269470
2490.151026817399,269734
2491.606181345343,270004
2493.04098395222,270258
2494.493501615035,270520
2495.954886429573,270798
2497.416316693546,271056
2498.828634552968,271318
2500.271618394839,271576
2501.717930737875,271852
2503.178627351304,272112
2504.630834713323,272372
2504.630834713323,272372
2506.093083918793,272640
2507.533262726601,272910
2508.992261522286,273168
2510.453411312405,273444
2511.89914532098,273698
2513.352358510685,273968
2514.78673498732,274230
2516.244846992269,274500
2517.694141419641,274778
2519.146130474528,275044
2520.606181345342,275310
2522.040983952219,275580
2523.493501615035,275846
2523.493501615035,275846
2524.954886429573,276128
2526.416316693546,276376
2527.828634552968,276650
2529.271618394839,276912
2530.717930737875,277192
2532.178627351304,277454
2533.630834713323,277734
2535.093083918793,278004
2536.533262726601,278276
2537.992261522286,278552
2539.453411312405,278820
2540.89914532098,279080
2542.352358510685,279350
2542.352358510685,279350
2543.78673498732,279636
2545.244846992269,279904
2546.694141419641,280188
2548.146130474528,280432
2549.606181345342,280728
2551.040983952219,281008
2552.493501615035,281274
2553.954886429573,281550
2555.416316693546,281820
2556.828634552968,282092
2558.271618394839,282366
2559.717930737875,282634
2561.178627351304,282900
2561.178627351304,282900
2562.630834713323,283186
2564.093083918793,283450
2565.533262726601,283732
2566.992261522286,284004
2568.453411312405,284274
2569.89914532098,284516
2571.352358510685,284802
2572.814485439374,285082
2574.271618394839,285352
2575.717930737875,285634
2577.178627351304,285894
2578.630834713323,286182
2580.093083918793,286452
2581.533262726601,286722
2582.992261522286,286998
2582.992261522286,286998
2584.453411312405,287280
2585.89914532098,287542
2587.352358510686,287828
2588.814485439375,288114
2590.271618394841,288376
2591.717930737877,288648
2593.178627351308,288920
2594.630834713327,289198
2596.093083918797,289474
2597.533262726606,289754
2598.992261522292,290026
2600.453411312412,290304
2601.899145320987,290562
2603.352358510693,290826
2604.814485439382,291116
2606.271618394848,291380
2607.717930737885,291672
2609.178627351315,291940
2610.630834713334,292222
2612.093083918804,292492
2613.533262726613,292762
2614.992261522299,293048
2616.453411312418,293314
2617.899145320993,293582
2619.352358510698,293854
2619.352358510698,293854
2620.814485439387,294144
2620.814485439387,294144
2622.271618394851,294406
2623.717930737888,294688
2625.178627351318,294942
2626.630834713337,295240
2628.093083918807,295514
2629.533262726616,295798
2630.992261522302,296076
2632.453411312422,296364
2633.899145320997,296622
2635.352358510703,296896
2636.814485439392,297186
2638.271618394857,297442
2639.717930737896,297730
2639.717930737896,297730
2641.178627351326,298012
2642.630834713346,298296
2644.093083918816,298582
2645.533262726626,298862
2646.992261522311,299130
2648.453411312431,299422
2649.899145321006,299682
2651.352358510712,299972
2652.814485439401,300262
2654.271618394866,300530
2655.717930737904,300824
2657.178627351334,301092
2658.630834713353,301362
2658.630834713353,301362
2660.093083918824,301648
2661.533262726633,301924
2662.992261522318,302218
2664.453411312438,302498
2665.899145321014,302770
2667.352358510719,303042
2668.814526196125,303334
2668.814526196125,303334
2670.271618394874,303600
2671.717930737911,303890
2673.178627351341,304174
2674.63083471336,304456
2676.093083918831,304744
2677.53326272664,305032
2678.992261522325,305316
2680.453411312445,305586
2681.899145321021,305858
2683.352358510726,306130
2684.814526196132,306442
2686.271618394881,306702
2687.717930737918,306994
2689.178627351348,307272
2690.630834713368,307558
2692.093083918838,307838
2692.093083918838,307838
2693.533262726648,308124
2694.992261522333,308410
2696.451020905738,308692
2697.899145321027,308966
2699.352358510732,309248
2700.814526196137,309556
2702.271618394886,309814
2703.717930737922,310106
2705.178627351352,310394
2706.63083471337,310680
2708.09308391884,310964
2709.533262726648,311260
2709.533262726648,311260
2710.992261522333,311550
2712.451020905738,311834
2713.899145321027,312104
2713.899145321027,312104
2715.352358510732,312384
2716.814526196137,312690
2718.271618394886,312958
2718.271618394886,312958
2719.717930737922,313258
2721.178627351352,313544
2722.63083471337,313834
2724.09308391884,314112
2725.533262726648,314414
2726.992261522333,314704
2728.451020905738,314992
2729.899145321027,315270
2731.352358510732,315564
2732.814526196137,315860
2734.271618394886,316138
2735.717930737922,316436
2737.178627351352,316714
2737.178627351352,316714
2738.63083471337,317010
2740.09308391884,317304
2741.533262726648,317598
2742.992261522333,317890
2744.451020905738,318178
2745.899145321028,318454
2747.352358510734,318754
2748.814526196139,319060
2750.271618394888,319338
2751.717930737925,319642
2753.178627351355,319930
2754.630834713374,320228
2756.093083918843,320522
2757.533262726651,320816
2758.992261522335,321112
2760.451020905739,321406
2760.451020905739,321406
2761.899145321028,321690
2763.352358510733,321984
2764.814526196136,322292
2766.271618394884,322566
2767.727227328057,322858
2769.191343767067,323164
2770.630834713367,323454
2772.093083918836,323754
2773.533262726644,324056
2774.992261522328,324350
2776.451020905732,324644
2777.899145321021,324924
2779.352358510725,325214
2780.814526196129,325518
2782.271618394877,325802
2783.72722732805,326106
2785.19134376706,326406
2786.630834713359,326694
2788.093083918829,327002
2789.533262726637,327288
2790.99226152232,327592
2792.451020905725,327870
2793.899145321013,328160
2795.352358510718,328450
2795.352358510718,328450
2796.814526196122,328756
2798.27161839487,329036
2799.727227328043,329340
2801.191343767052,329624
2802.630834713352,329928
2804.093083918821,330228
2805.533262726629,330520
2806.992261522313,330820
2806.992261522313,330820
2808.451020905718,331106
