# total_scans #1
33.53880700701848 13.0
33.53880700701848 13.0
# total_scans #12
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.05094236880541 2.0
15.05094236880541 3.0
21.0 3.0
21.0 4.0
21.05094236880541 4.0
21.05094236880541 5.0
22.51830219570547 5.0
22.51830219570547 6.0
24.05094236880541 6.0
24.05094236880541 7.0
27.05094236880541 7.0
27.05094236880541 8.0
28.0 8.0
28.0 9.0
29.51830219570547 9.0
29.5378584923045 11.0
30.05094236880541 11.0
30.05094236880541 12.0
31.0 12.0
31.0 13.0
32.51830219570547 13.0
32.5378584923045 15.0
33.05094236880541 15.0
33.05094236880541 16.0
35.51830219570547 16.0
35.5378584923045 17.0
35.5378584923045 17.0
36.0 17.0
36.0 17.0
# total_scans #13
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.30986236245371 2.0
15.30986236245371 3.0
21.0 3.0
21.0 4.0
22.30986236245371 4.0
22.30986236245371 5.0
22.76185813381624 5.0
22.76185813381624 6.0
24.0 6.0
24.0 7.0
25.30986236245371 7.0
25.30986236245371 8.0
25.76185813381624 8.0
25.76185813381624 9.0
28.30986236245371 9.0
28.30986236245371 10.0
31.0 10.0
31.0 11.0
31.30986236245371 11.0
31.30986236245371 12.0
31.76185813381624 12.0
31.76185813381624 13.0
32.95418180711567 13.0
32.95418180711567 14.0
34.0 14.0
34.0 15.0
34.76185813381623 15.0
34.76185813381623 16.0
35.95418180711567 16.0
35.95418180711567 17.0
36.30986236245371 17.0
36.30986236245371 17.0
# total_scans #14
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.00383540778421 2.0
15.00383540778421 3.0
17.0 3.0
17.00383540778421 4.0
17.00383540778421 4.0
22.00383540778421 4.0
22.00383540778421 5.0
23.42548069311306 5.0
23.42548069311306 6.0
24.0 6.0
24.00383540778421 7.0
24.00383540778421 7.0
25.9600613120972 7.0
25.9600613120972 8.0
27.0 8.0
27.00383540778421 9.0
27.00383540778421 9.0
28.42548069311306 9.0
28.42548069311306 9.0
# total_scans #15
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.48924320214428 2.0
15.48924320214428 3.0
18.48924320214428 3.0
18.48924320214428 4.0
21.0 4.0
21.0 5.0
21.48924320214428 5.0
21.48924320214428 6.0
22.03944256459363 6.0
22.03944256459363 7.0
25.03944256459363 7.0
25.03944256459363 8.0
28.0 8.0
28.0 9.0
28.03944256459363 9.0
28.03944256459363 10.0
28.48924320214428 10.0
28.48924320214428 11.0
29.67107113474049 11.0
29.67107113474049 12.0
31.0 12.0
31.0 13.0
31.03944256459363 13.0
31.03944256459363 14.0
32.67107113474049 14.0
32.67107113474049 15.0
33.48924320214428 15.0
33.48924320214428 15.0
# total_scans #16
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.74621113180183 2.0
15.74621113180183 3.0
21.0 3.0
21.0 4.0
21.74621113180183 4.0
21.74621113180183 5.0
22.05553885223344 5.0
22.05553885223344 6.0
25.05553885223344 6.0
25.05553885223344 7.0
28.0 7.0
28.0 8.0
28.05553885223344 8.0
28.05553885223344 9.0
28.74621113180183 9.0
28.74621113180183 10.0
29.14683860307559 10.0
29.14683860307559 11.0
31.74621113180183 11.0
31.74621113180183 12.0
32.14683860307559 12.0
32.14683860307559 13.0
33.0 13.0
33.0 13.0
# total_scans #17
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.53611485403962 2.0
15.53611485403962 3.0
17.0 3.0
17.0 4.0
20.0 4.0
20.0 5.0
22.53611485403962 5.0
22.53611485403962 6.0
23.99076021532528 6.0
24.0 7.0
24.0 7.0
25.53611485403962 7.0
25.53611485403962 8.0
26.99076021532528 8.0
27.0 10.0
28.53611485403962 10.0
28.53611485403962 11.0
28.64883272268313 11.0
28.64883272268313 12.0
29.99076021532528 12.0
30.0 13.0
30.0 13.0
31.64883272268313 13.0
31.64883272268313 14.0
32.99076021532528 14.0
32.99076021532528 15.0
33.53611485403962 15.0
33.53611485403962 15.0
# total_scans #18
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.70546657312661 2.0
15.70546657312661 3.0
17.0 3.0
17.0 4.0
22.70546657312661 4.0
22.70546657312661 5.0
23.0 5.0
23.0 6.0
24.37899117381312 6.0
24.37899117381312 7.0
29.70546657312661 7.0
29.70546657312661 8.0
30.0 8.0
30.0 9.0
30.37899117381312 9.0
30.37899117381312 10.0
30.88864227430895 10.0
30.88864227430895 11.0
32.70546657312661 11.0
32.70546657312661 12.0
33.0 12.0
33.0 13.0
33.37899117381312 13.0
33.37899117381312 14.0
33.88864227430895 14.0
33.88864227430895 15.0
35.70546657312661 15.0
35.70546657312661 16.0
36.0 16.0
36.0 17.0
36.37899117381312 17.0
36.37899117381312 18.0
36.88864227430895 18.0
36.88864227430895 19.0
38.70546657312661 19.0
38.70546657312661 20.0
39.0 20.0
39.0 21.0
39.37899117381312 21.0
39.37899117381312 22.0
41.88864227430895 22.0
41.88864227430895 22.0
# total_scans #19
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.9991473662667 2.0
16.0 3.0
16.0 3.0
21.0 3.0
21.0 4.0
22.56414120318368 4.0
22.56414120318368 5.0
22.9991473662667 5.0
22.9991473662667 6.0
24.0 6.0
24.0 7.0
24.87414443725923 7.0
24.87414443725923 8.0
25.9991473662667 8.0
25.9991473662667 9.0
27.0 9.0
27.0 10.0
27.87414443725923 10.0
27.87414443725923 11.0
28.9991473662667 11.0
28.9991473662667 12.0
29.56414120318368 12.0
29.56414120318368 13.0
30.0 13.0
30.0 14.0
30.87414443725923 14.0
30.87414443725923 15.0
31.43265777477843 15.0
31.43265777477843 16.0
31.9991473662667 16.0
32.0 17.0
32.0 17.0
32.56414120318368 17.0
32.56414120318368 18.0
33.87414443725923 18.0
33.87414443725923 19.0
34.43265777477843 19.0
34.43265777477843 20.0
35.0 20.0
35.0 20.0
# total_scans #20
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.03518429887481 2.0
15.03518429887481 3.0
21.0 3.0
21.0 4.0
22.03518429887481 4.0
22.03518429887481 5.0
22.96471097815057 5.0
22.96471097815057 6.0
24.0 6.0
24.0 7.0
25.03518429887481 7.0
25.03518429887481 8.0
25.96471097815057 8.0
25.96471097815057 9.0
27.0 9.0
27.0 10.0
28.03518429887481 10.0
28.03518429887481 11.0
28.96471097815057 11.0
28.96471097815057 12.0
30.0 12.0
30.0 13.0
31.03518429887481 13.0
31.03518429887481 14.0
31.96471097815057 14.0
31.96471097815057 15.0
33.0 15.0
33.0 16.0
34.03518429887481 16.0
34.03518429887481 17.0
34.96471097815057 17.0
34.96471097815057 18.0
37.03518429887481 18.0
37.03518429887481 19.0
39.96471097815057 19.0
39.96471097815057 19.0
# total_scans #21
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.78719837521203 2.0
15.78719837521203 3.0
17.0 3.0
17.0 4.0
22.78719837521203 4.0
22.78719837521203 5.0
23.0 5.0
23.0 6.0
23.80923800752498 6.0
23.80923800752498 7.0
25.78719837521203 7.0
25.80923800752498 8.0
25.80923800752498 8.0
26.0 8.0
26.0 9.0
28.78719837521203 9.0
28.80923800752498 10.0
28.80923800752498 10.0
29.0 10.0
29.0 11.0
30.80923800752498 11.0
30.80923800752498 12.0
31.78719837521203 12.0
31.80923800752498 13.0
31.80923800752498 13.0
32.0 13.0
32.0 14.0
32.76188598689344 14.0
32.76188598689344 15.0
33.80923800752498 15.0
33.80923800752498 16.0
34.78719837521203 16.0
34.80923800752498 17.0
34.80923800752498 17.0
35.0 17.0
35.0 18.0
35.76188598689344 18.0
35.76188598689344 19.0
36.80923800752498 19.0
36.80923800752498 20.0
37.78719837521203 20.0
37.80923800752498 21.0
37.80923800752498 21.0
38.0 21.0
38.0 22.0
38.76188598689344 22.0
38.76188598689344 23.0
39.80923800752498 23.0
39.80923800752498 24.0
40.78719837521203 24.0
40.80923800752498 25.0
40.80923800752498 25.0
43.76188598689344 25.0
43.76188598689344 25.0
# total_scans #22
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.30880566965789 2.0
15.30880566965789 3.0
21.0 3.0
21.0 4.0
21.30880566965789 4.0
21.30880566965789 5.0
22.7047119946219 5.0
22.7047119946219 6.0
24.0 6.0
24.0 7.0
25.7047119946219 7.0
25.7047119946219 8.0
27.0 8.0
27.0 9.0
28.30880566965789 9.0
28.30880566965789 10.0
28.7047119946219 10.0
28.7047119946219 11.0
29.63693126826547 11.0
29.63693126826547 12.0
30.0 12.0
30.0 13.0
31.7047119946219 13.0
31.7047119946219 14.0
32.63693126826547 14.0
32.63693126826547 15.0
34.7047119946219 15.0
34.7047119946219 16.0
