# total_attempts #1
20.0 12.0
20.0 13.0
20.0 13.0
20.60393969994038 13.0
20.60393969994038 14.0
20.60393969994038 14.0
21.0 14.0
21.0 15.0
21.0 15.0
22.0 15.0
22.0 16.0
22.0 16.0
23.60393969994038 16.0
23.60393969994038 17.0
23.60393969994038 17.0
25.0 17.0
25.0 18.0
25.0 18.0
25.14701080951082 18.0
25.14701080951082 19.0
25.14701080951082 19.0
26.14701080951082 19.0
26.14701080951082 20.0
26.14701080951082 20.0
26.60393969994038 20.0
26.60393969994038 21.0
26.60393969994038 21.0
27.14701080951082 21.0
27.14701080951082 22.0
27.14701080951082 22.0
28.0 22.0
28.0 23.0
28.0 23.0
28.14701080951082 23.0
28.14701080951082 24.0
28.14701080951082 24.0
29.0 24.0
29.0 25.0
29.0 25.0
29.14701080951082 25.0
29.14701080951082 26.0
29.14701080951082 26.0
29.60393969994038 26.0
29.60393969994038 27.0
29.60393969994038 27.0
30.0 27.0
30.0 28.0
30.0 28.0
32.14701080951082 28.0
32.14701080951082 29.0
32.14701080951082 29.0
32.60393969994038 29.0
32.60393969994038 30.0
32.60393969994038 30.0
33.0 30.0
33.0 31.0
33.0 31.0
33.60393969994038 31.0
33.60393969994038 32.0
33.60393969994038 32.0
34.12763379444542 32.0
34.14701080951082 33.0
34.14701080951082 33.0
34.60393969994038 33.0
34.60393969994038 34.0
34.60393969994038 34.0
35.12763379444542 34.0
35.14701080951082 36.0
35.14701080951082 36.0
35.60393969994038 36.0
35.60393969994038 37.0
35.60393969994038 37.0
36.0 37.0
36.0 38.0
36.0 38.0
36.12763379444542 38.0
36.14701080951082 40.0
36.14701080951082 40.0
36.60393969994038 40.0
36.60393969994038 41.0
36.60393969994038 41.0
# total_attempts #3
